docId,docLength
0,1250
1,567
2,474
3,1060
4,557
5,389
6,350
7,390
8,588
9,466
10,387
11,1246
12,849
13,865
14,656
15,712
16,665
17,1117
18,730
19,1309
20,506
21,1442
22,621
23,445
24,817
25,915
26,620
27,760
28,719
29,596
30,808
31,1277
32,661
33,759
34,784
35,834
36,1159
37,601
38,628
39,659
40,1431
41,453
42,458
43,547
44,745
45,463
46,604
47,670
48,1387
49,430
50,628
51,810
52,479
53,787
54,812
55,1136
56,624
57,518
58,593
59,895
60,628
61,895
62,533
