docId,docLength
0,715
1,2761
2,609
3,417
4,573
5,300
6,284
7,493
8,294
9,317
10,343
11,373
12,309
13,134
14,295
15,661
16,1212
17,727
18,919
19,601
20,376
21,435
22,1811
23,429
24,296
25,373
26,459
27,488
28,707
29,780
30,483
31,536
32,808
33,673
34,497
35,650
36,643
37,575
38,598
39,426
40,604
41,684
42,429
43,398
44,561
45,470
46,428
47,447
48,468
49,498
50,441
51,394
52,464
53,464
54,385
55,465
56,476
57,510
58,506
59,112
60,134
61,75
62,122
63,139
64,229
65,466
66,497
67,622
68,445
69,678
70,683
71,458
72,431
73,495
74,675
75,431
76,577
77,501
78,772
79,1595
80,460
81,376
82,352
83,871
84,390
85,458
86,905
87,612
88,524
89,514
90,379
91,447
92,487
93,774
94,642
95,499
96,646
97,489
98,613
99,496
100,481
101,488
102,488
103,473
104,765
105,801
106,654
107,516
108,490
109,685
110,384
111,442
112,433
113,408
114,484
115,429
116,450
117,468
118,498
119,441
120,395
121,464
122,465
123,386
124,466
125,476
126,511
127,507
128,498
129,641
130,772
131,906
132,613
133,525
134,515
135,405
136,499
137,686
138,437
139,477
140,671
141,485
142,355
143,368
144,355
145,353
146,338
147,951
148,463
149,611
150,438
151,490
152,1389
153,328
154,643
155,410
156,619
157,511
158,496
159,834
160,470
161,423
162,559
163,399
164,372
